STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100101,4,1,2,13,2,6,42,3,12,11,1,11,1,374,216,75,27,126,6,37,17,109,32,1,7,2,350,156,428,272,116,71,123,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100102,4,1,2,13,2,6,42,3,12,22,2,22,2,372,214,74,27,128,7,37,17,109,32,1,7,2,349,156,428,271,116,71,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100103,4,1,2,13,2,6,42,3,12,32,3,32,3,370,213,74,26,130,7,37,18,110,33,1,7,2,349,157,427,270,117,71,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100104,4,1,2,13,2,6,42,3,13,43,4,43,4,368,212,73,26,132,7,37,18,110,33,1,8,2,348,157,427,270,117,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100105,4,1,2,13,2,6,42,3,13,54,5,54,5,366,211,73,26,133,8,37,19,111,34,1,8,2,348,157,426,269,117,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100106,4,1,2,13,2,6,42,3,13,64,6,64,6,364,209,72,25,135,8,38,19,112,35,1,8,2,347,158,426,268,117,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100107,4,1,2,13,2,6,42,3,13,75,8,75,8,362,207,71,25,137,9,38,20,112,35,1,8,2,347,158,426,268,116,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100108,4,1,2,13,2,6,42,3,13,85,9,85,9,359,206,71,24,138,9,38,20,113,35,1,8,3,347,158,426,267,116,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100109,4,1,2,13,2,6,42,3,13,96,10,96,10,357,204,71,24,139,9,38,21,114,36,1,8,3,346,159,426,267,116,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100110,4,1,2,13,2,6,42,3,13,106,11,106,11,355,203,70,24,140,10,39,22,114,36,1,8,3,346,159,426,267,116,72,124,120
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100111,4,1,2,13,2,6,42,3,13,117,12,117,12,353,201,70,24,141,10,39,22,115,36,1,8,3,346,159,426,266,116,72,123,119
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100112,4,1,2,12,2,6,43,3,13,127,13,127,13,351,199,70,23,141,10,39,22,116,37,1,8,3,346,160,426,266,116,72,123,119
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100113,4,1,2,12,2,6,43,3,12,138,14,138,14,349,198,70,23,142,10,39,23,116,37,1,9,3,346,160,426,266,115,72,123,118
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100114,4,1,2,12,2,6,43,3,12,148,15,148,15,347,196,70,23,142,10,40,23,118,37,1,9,3,346,161,426,266,115,72,123,118
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100115,4,1,2,13,2,6,43,3,12,158,16,158,16,345,195,70,23,143,11,40,23,119,38,1,9,3,346,161,427,266,114,73,123,117
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100116,4,1,2,13,2,6,44,3,13,169,17,169,17,344,194,71,23,144,11,40,24,120,38,1,9,3,346,161,427,266,114,73,123,117
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100117,4,1,2,13,2,6,44,3,13,179,18,179,18,343,194,71,24,144,11,41,24,121,39,1,10,3,347,162,428,266,114,73,123,117
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100118,4,1,2,13,2,6,44,3,13,188,19,188,19,341,193,72,24,145,11,41,24,122,39,1,10,3,347,162,428,266,114,73,122,116
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100119,4,1,2,13,2,6,45,3,13,199,21,199,21,340,193,73,24,145,11,42,25,123,40,1,10,3,347,163,429,266,114,73,122,116
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100120,4,1,2,13,2,5,45,3,13,209,22,209,22,339,192,73,24,145,11,42,25,123,40,1,11,3,348,163,429,266,113,73,122,116
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100121,4,1,2,14,2,5,45,3,13,219,23,219,23,338,192,74,24,145,11,43,25,124,40,1,11,3,348,164,430,266,113,73,122,115
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100122,4,1,2,14,2,5,46,3,13,229,24,229,24,338,192,75,24,145,11,43,25,125,40,1,11,3,349,164,431,267,113,74,122,115
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100123,4,1,2,14,2,5,46,3,13,239,26,239,26,337,191,76,24,145,10,44,26,125,41,1,12,4,350,165,432,267,113,74,122,115
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100124,4,1,2,14,2,5,46,3,13,250,27,250,27,336,191,76,24,145,10,45,26,126,41,1,12,4,350,166,433,268,112,74,122,114
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100125,4,1,2,14,2,5,46,3,13,260,28,260,28,336,191,77,24,144,10,45,26,126,41,1,12,4,351,166,434,268,112,74,122,114
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100126,4,1,2,14,2,5,46,3,13,270,29,270,29,336,191,77,24,144,9,46,26,127,41,1,13,4,352,167,435,269,112,74,122,113
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100127,4,1,2,14,2,5,46,3,13,280,31,280,31,336,192,77,25,143,9,46,26,128,42,1,13,4,353,167,437,269,111,74,122,113
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100128,4,1,2,14,2,5,46,3,13,291,32,291,32,337,192,78,24,142,8,47,26,129,42,1,14,4,354,168,438,270,111,75,122,112
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100129,3,1,2,14,2,5,46,3,13,301,34,301,34,338,192,78,24,141,8,48,27,129,42,1,14,4,355,168,440,271,111,75,122,111
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100130,3,1,2,14,2,5,46,3,13,313,35,313,35,338,192,78,24,141,8,49,27,130,42,1,14,4,357,169,441,272,110,75,122,111
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100131,3,1,2,14,2,5,46,3,13,324,37,324,37,339,193,79,24,140,7,49,27,130,42,1,15,4,358,170,443,273,109,75,121,110
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100201,3,1,2,14,2,5,46,3,13,12,2,336,39,340,193,79,25,138,7,50,27,130,42,-9999,15,5,359,170,444,274,109,75,121,109
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100202,3,1,2,14,2,5,46,4,13,24,4,348,41,341,193,80,25,137,6,50,27,131,42,-9999,15,5,361,171,446,275,108,75,121,108
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100203,3,1,2,14,2,4,46,4,13,36,6,360,43,341,193,80,25,135,6,51,27,131,42,0,16,5,362,171,448,277,108,75,121,107
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100204,3,1,2,14,2,4,46,4,13,48,7,372,44,341,193,80,25,134,6,51,27,130,42,0,16,5,364,172,450,278,107,75,121,106
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100205,3,1,2,14,2,4,46,4,13,59,9,383,46,342,193,80,25,132,5,51,26,130,41,0,16,5,366,173,452,279,107,76,121,106
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100206,3,1,2,14,2,4,46,4,13,70,11,394,48,343,193,80,25,131,5,52,26,130,41,0,16,5,368,173,454,281,106,76,120,105
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100207,3,1,2,14,2,4,46,4,13,81,13,405,50,344,194,80,25,129,5,52,26,129,41,0,16,5,369,174,456,282,106,76,120,104
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100208,3,1,2,14,2,4,45,4,13,92,15,416,52,344,194,80,25,127,4,51,25,128,40,0,16,5,371,175,459,284,106,76,120,104
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100209,3,1,2,14,2,4,45,4,13,103,16,427,53,346,195,80,25,125,4,51,25,127,40,0,17,5,374,175,461,286,105,76,120,103
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100210,3,1,2,14,2,4,45,4,13,114,18,438,55,347,196,80,25,123,3,51,24,126,39,0,17,5,376,176,464,288,105,77,120,102
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100211,3,1,2,14,2,4,45,4,13,125,20,449,57,348,197,80,25,120,3,51,24,125,39,0,17,5,378,177,466,290,104,77,120,102
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100212,3,1,2,14,2,4,44,4,13,136,22,460,59,349,197,79,25,118,3,51,24,123,38,0,17,5,380,177,469,292,104,77,120,101
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100213,3,1,2,14,2,4,44,4,13,147,24,471,61,350,198,79,25,115,2,50,23,121,38,0,17,5,383,178,472,294,104,78,120,101
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100214,3,1,2,14,2,4,44,4,13,158,25,482,62,351,198,79,25,112,2,50,23,119,37,0,17,5,385,179,474,296,103,78,120,100
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100215,3,1,2,14,2,4,43,4,13,170,27,494,64,352,199,78,25,109,2,49,22,117,36,0,17,5,388,179,477,298,103,78,120,100
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100216,3,1,2,13,2,4,43,4,13,181,29,505,66,353,199,78,24,106,1,48,22,115,36,0,16,5,390,180,480,300,103,78,120,99
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100217,3,1,2,13,2,4,42,4,13,192,31,516,68,354,199,77,24,102,1,47,21,112,35,0,16,5,393,181,483,303,103,79,120,99
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100218,3,1,2,13,2,4,42,4,13,203,32,527,69,354,199,77,24,99,1,46,20,110,34,0,16,5,396,181,486,305,103,79,120,99
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100219,3,-666,2,13,-666,4,41,-666,13,215,34,539,71,355,200,76,24,95,1,44,20,107,33,0,15,5,398,182,489,307,102,79,120,98
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100220,3,-666,2,13,-666,4,41,-666,13,226,35,550,72,356,200,76,23,92,1,43,19,105,32,0,15,5,401,183,492,310,102,79,120,98
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100221,3,-666,2,13,-666,4,40,-666,13,237,36,561,73,358,202,75,24,88,1,41,18,102,31,0,15,4,404,183,496,312,102,79,120,98
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100222,3,-666,2,13,-666,4,40,-666,13,249,38,573,75,359,203,75,24,84,1,40,18,100,30,0,14,4,407,184,499,315,102,80,120,97
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100223,3,-666,-666,13,-666,-666,40,-666,-666,260,39,584,76,361,204,75,24,80,1,38,17,98,29,0,14,4,410,185,502,318,102,80,120,97
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100224,3,-666,-666,13,-666,-666,40,-666,-666,272,41,596,78,361,205,75,24,77,1,37,16,96,28,0,13,4,413,185,506,320,102,80,120,97
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100225,4,-666,-666,13,-666,-666,40,-666,-666,284,42,608,79,361,206,75,24,74,0,35,16,93,27,0,13,4,416,186,509,323,101,80,120,96
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100226,4,-666,-666,13,-666,-666,40,-666,-666,295,43,619,80,362,207,75,24,70,0,34,15,90,26,0,13,4,419,187,512,326,101,80,120,96
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100227,4,-666,-666,14,-666,-666,40,-666,-666,307,44,631,81,362,209,76,24,67,0,33,15,87,26,0,12,4,422,188,516,328,101,81,120,96
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100228,4,-666,-666,14,-666,-666,40,-666,-666,318,45,642,82,363,210,76,24,64,0,31,14,84,25,0,12,4,425,188,520,331,101,81,120,95
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100301,4,-666,-666,14,-666,-666,40,-666,-666,12,1,654,83,364,214,76,24,57,0,28,12,78,23,0,11,3,429,189,523,334,101,81,120,95
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100302,4,-666,-666,15,-666,-666,40,-666,-666,24,2,666,84,365,216,77,24,54,0,27,12,76,22,0,10,3,432,190,527,337,101,81,120,95
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100303,4,-666,-666,15,-666,-666,40,-666,-666,35,2,677,84,366,218,78,24,51,0,25,11,73,21,0,10,3,435,190,530,340,100,81,120,95
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100304,4,-666,-666,15,-666,-666,41,-666,-666,47,3,689,85,368,221,78,24,49,0,24,10,70,20,0,9,3,438,191,534,343,100,81,120,95
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100305,4,-666,-666,16,-666,-666,41,-666,-666,60,3,702,85,369,223,78,24,46,0,22,10,67,20,0,9,3,442,192,538,346,100,81,120,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100306,4,-666,-666,16,-666,-666,41,-666,-666,73,4,715,86,371,225,79,24,43,0,21,9,65,19,0,9,3,445,193,541,348,100,81,119,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100307,4,-666,-666,16,-666,-666,41,-666,-666,86,5,728,87,372,227,80,24,41,0,20,9,63,18,0,8,3,448,194,545,351,99,81,119,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100308,5,-666,-666,17,-666,-666,41,-666,-666,99,5,741,87,374,230,80,24,38,0,18,8,60,18,0,8,3,451,194,549,354,99,81,119,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100309,5,-666,-666,17,-666,-666,41,-666,-666,112,6,754,88,375,232,81,25,36,0,17,8,58,17,0,8,3,455,195,552,357,99,81,119,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100310,5,-666,-666,17,-666,-666,42,-666,-666,125,6,767,88,376,234,82,25,34,0,16,7,55,16,0,7,2,458,196,556,360,99,81,118,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100311,5,-666,-666,17,-666,-666,42,-666,-666,138,7,780,89,377,236,82,25,32,0,15,7,53,16,0,7,2,461,197,560,363,99,81,118,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100312,5,-666,-666,18,-666,-666,42,-666,-666,151,8,793,90,379,238,83,25,30,0,13,6,51,15,0,6,2,465,198,564,366,98,81,118,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100313,5,-666,-666,18,-666,-666,42,-666,-666,165,8,807,90,380,240,83,25,28,0,12,6,49,15,0,6,2,468,199,567,369,98,81,118,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100314,5,-666,-666,18,-666,-666,43,-666,-666,179,8,821,90,381,242,84,25,26,0,11,5,46,14,0,5,2,472,199,571,372,98,81,117,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100315,5,-666,-666,18,-666,-666,43,-666,-666,193,9,835,91,382,244,85,25,24,0,10,5,44,13,0,5,2,475,200,575,375,98,80,117,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100316,5,-666,-666,19,-666,-666,43,-666,-666,206,9,848,91,383,245,85,25,22,0,9,5,42,13,0,5,2,478,201,579,378,98,80,117,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100317,5,-666,-666,19,-666,-666,43,-666,-666,220,10,862,92,384,247,86,26,21,0,9,4,40,12,0,4,2,482,202,583,381,98,80,116,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100318,5,-666,-666,19,-666,-666,44,-666,-666,234,10,876,92,386,249,87,26,19,0,8,4,38,12,0,4,2,485,203,586,384,98,80,116,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100319,5,-666,-666,19,-666,-666,44,-666,-666,247,11,889,93,387,251,87,26,18,0,7,4,36,11,0,4,2,488,204,590,387,98,80,116,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100320,5,-666,-666,19,-666,-666,44,-666,-666,261,11,903,93,388,252,88,26,17,0,7,4,35,11,0,4,2,492,204,594,390,98,80,116,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100321,5,-666,-666,20,-666,-666,44,-666,-666,275,11,917,93,388,252,88,26,16,0,6,3,33,11,0,4,2,495,205,598,393,98,80,115,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100322,6,-666,-666,20,-666,-666,44,-666,-666,290,12,932,94,388,253,88,26,15,0,6,3,31,10,0,3,2,499,206,602,396,97,79,115,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100323,6,-666,-666,20,-666,-666,44,-666,-666,304,12,946,94,389,253,88,26,15,0,5,3,29,10,0,3,2,502,207,605,399,97,79,115,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100324,6,-666,-666,20,-666,-666,44,-666,-666,318,12,960,94,390,254,89,26,14,0,5,3,27,9,0,3,2,505,208,609,402,97,79,114,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100325,6,-666,-666,20,-666,-666,44,-666,-666,332,13,974,95,391,255,89,26,13,0,5,3,25,9,0,3,2,509,208,613,405,97,79,114,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100326,6,-666,-666,20,-666,-666,45,-666,-666,347,13,989,95,392,256,90,26,12,0,4,2,24,9,0,3,1,512,209,617,408,96,78,113,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100327,6,-666,-666,20,-666,-666,45,-666,-666,361,13,1003,95,393,256,90,26,12,0,4,2,22,8,0,2,1,516,210,621,411,96,78,113,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100328,5,-666,-666,20,-666,-666,45,-666,-666,375,13,1017,95,394,256,90,25,11,0,3,2,21,8,0,2,1,519,211,624,414,96,78,113,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100329,5,-666,-666,20,-666,-666,45,-666,-666,389,14,1031,96,395,256,90,25,10,0,3,2,20,8,0,2,1,522,211,628,417,96,77,112,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100330,5,-666,-666,20,-666,-666,45,-666,-666,403,14,1045,96,396,256,90,25,10,0,3,2,19,7,0,2,1,526,212,632,420,96,77,112,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100331,6,-666,-666,20,-666,-666,45,-666,-666,417,14,1059,96,396,256,90,25,9,0,3,2,17,7,0,2,1,529,213,636,423,96,77,112,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100401,6,-666,-666,20,-666,-666,44,-666,-666,13,0,1072,96,396,256,89,25,9,0,-9999,-9999,16,7,0,-9999,-9999,533,213,639,426,96,77,112,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100402,6,-666,-666,20,-666,-666,45,-666,-666,26,0,1085,96,395,255,90,25,8,0,-9999,-9999,15,6,0,-9999,-9999,536,214,643,429,96,77,111,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100403,6,-666,-666,20,-666,-666,45,-666,-666,38,0,1097,96,395,255,90,26,8,0,-9999,-9999,14,6,0,-9999,-9999,540,214,647,432,95,76,111,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100404,6,-666,-666,20,-666,-666,45,-666,-666,49,0,1108,96,395,255,90,26,7,0,-9999,-9999,13,5,0,-9999,-9999,543,215,650,436,95,76,111,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100405,6,-666,-666,20,-666,-666,45,-666,-666,61,0,1120,96,395,254,90,26,7,0,-9999,-9999,11,5,0,-9999,-9999,546,215,654,439,95,76,110,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100406,6,-666,-666,19,-666,-666,45,-666,-666,73,0,1132,96,394,254,90,26,6,0,-9999,-9999,10,5,0,-9999,-9999,550,215,657,442,95,76,110,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100407,6,-666,-666,19,-666,-666,45,-666,-666,86,1,1145,97,394,254,90,26,5,0,-9999,-9999,9,4,0,-9999,-9999,553,216,661,445,95,76,110,94
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100408,6,-666,-666,19,-666,-666,46,-666,-666,99,1,1158,97,394,253,91,27,5,0,-9999,-9999,9,4,0,-9999,-9999,556,216,665,448,94,76,109,93
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100409,6,-666,-666,19,-666,-666,46,-666,-666,112,1,1171,97,394,253,91,27,5,0,-9999,-9999,8,4,0,-9999,-9999,560,216,668,452,94,76,109,93
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100410,6,-666,-666,20,-666,-666,46,-666,-666,124,1,1183,97,394,253,92,27,4,0,-9999,-9999,7,4,0,-9999,-9999,563,217,671,455,94,76,109,93
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100411,6,-666,-666,20,-666,-666,47,-666,-666,137,1,1196,97,394,253,93,28,4,0,-9999,-9999,6,3,0,-9999,-9999,566,217,675,458,93,76,108,93
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100412,6,-666,-666,20,-666,-666,47,-666,-666,149,1,1208,97,394,253,93,28,4,0,-9999,-9999,6,3,0,-9999,-9999,570,217,678,461,93,76,107,92
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100413,6,-666,-666,20,-666,-666,48,-666,-666,162,1,1221,97,394,254,94,29,3,0,-9999,-9999,5,3,0,-9999,-9999,573,217,682,465,92,75,106,92
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100414,6,-666,-666,20,-666,-666,48,-666,-666,175,1,1234,97,394,254,95,29,3,0,-9999,-9999,5,3,0,-9999,-9999,576,217,685,468,91,75,106,91
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100415,6,-666,-666,20,-666,-666,49,-666,-666,187,1,1246,97,394,254,96,30,3,0,-9999,-9999,4,2,0,-9999,-9999,580,217,688,471,90,75,105,90
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100416,6,-666,-666,20,-666,-666,50,-666,-666,200,1,1259,97,394,255,97,30,3,0,-9999,-9999,4,2,0,0,0,583,217,691,475,89,75,104,90
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100417,6,-666,-666,21,-666,-666,50,-666,-666,213,1,1272,97,394,255,98,31,2,0,0,0,3,2,0,0,0,586,217,694,478,88,75,102,89
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100418,6,-666,-666,21,-666,-666,51,-666,-666,227,1,1286,97,394,256,99,31,2,0,0,0,3,2,0,0,0,589,216,697,481,87,75,101,88
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100419,6,-666,-666,21,-666,-666,52,-666,-666,240,1,1299,97,396,257,100,32,2,0,0,0,3,2,0,0,0,592,216,701,484,86,75,100,88
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100420,6,-666,-666,21,-666,-666,53,-666,-666,253,1,1312,97,397,258,102,33,2,0,0,0,2,1,0,0,0,596,216,704,488,85,75,99,87
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100421,6,-666,-666,21,-666,-666,53,-666,-666,267,1,1326,97,397,259,103,34,1,0,0,0,2,1,0,0,0,599,215,706,491,84,75,98,86
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100422,6,-666,-666,21,-666,-666,54,-666,-666,281,1,1340,97,398,260,104,34,1,0,0,0,2,1,0,0,0,602,215,709,494,83,74,97,86
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100423,6,-666,-666,22,-666,-666,54,-666,-666,296,1,1355,97,398,260,104,35,1,0,0,0,2,1,0,0,0,605,215,712,498,83,74,96,85
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100424,6,-666,-666,22,-666,-666,55,-666,-666,311,1,1370,97,399,261,105,36,1,0,0,0,1,1,0,0,0,608,214,715,501,82,74,95,84
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100425,6,-666,-666,22,-666,-666,55,-666,-666,326,1,1385,97,399,262,106,36,1,0,0,0,1,1,0,0,0,611,214,718,504,81,74,94,84
GHCND:USW00093821,LOUISVILLE INTERNATIONAL AIRPORT KY US,20100426,6,-666,-666,22,-666,-666,56,-666,-666,341,1,1400,97,399,262,107,37,1,0,0,0,1,1,0,0,0,614,213,721,507,80,73,92,83
